memory_id,priority,analyzed_at,token_count
12755,1,2025-12-01 10:52:14.47583,200
12756,1,2025-12-01 10:52:14.47583,200
12757,1,2025-12-01 10:52:14.47583,200
12758,1,2025-12-01 10:52:14.47583,200
12763,1,2025-12-01 10:52:14.47583,200
12766,1,2025-12-01 10:52:14.47583,200
12767,1,2025-12-01 10:52:14.47583,200
12770,1,2025-12-01 10:52:14.47583,200
12782,1,2025-12-01 10:52:14.47583,200
12801,1,2025-12-01 10:52:14.47583,200
12803,1,2025-12-01 10:52:14.47583,200
12834,1,2025-12-01 10:52:14.47583,200
12843,1,2025-12-01 10:52:14.47583,200
12845,1,2025-12-01 10:52:14.47583,200
12882,1,2025-12-01 10:52:14.47583,200
12983,1,2025-12-01 10:52:14.47583,200
12984,1,2025-12-01 10:52:14.47583,200
12985,1,2025-12-01 10:52:14.47583,200
12988,1,2025-12-01 10:52:14.47583,200
12989,1,2025-12-01 10:52:14.47583,200
12991,1,2025-12-01 10:52:14.47583,200
13018,1,2025-12-01 10:52:14.47583,200
12761,2,2025-12-01 10:52:14.47583,200
12774,2,2025-12-01 10:52:14.47583,200
12783,2,2025-12-01 10:52:14.47583,200
12784,2,2025-12-01 10:52:14.47583,200
12791,2,2025-12-01 10:52:14.47583,200
12794,2,2025-12-01 10:52:14.47583,200
12800,2,2025-12-01 10:52:14.47583,200
12807,2,2025-12-01 10:52:14.47583,200
12813,2,2025-12-01 10:52:14.47583,200
12818,2,2025-12-01 10:52:14.47583,200
12826,2,2025-12-01 10:52:14.47583,200
12832,2,2025-12-01 10:52:14.47583,200
12835,2,2025-12-01 10:52:14.47583,200
12844,2,2025-12-01 10:52:14.47583,200
12849,2,2025-12-01 10:52:14.47583,200
12851,2,2025-12-01 10:52:14.47583,200
12870,2,2025-12-01 10:52:14.47583,200
12872,2,2025-12-01 10:52:14.47583,200
12873,2,2025-12-01 10:52:14.47583,200
12874,2,2025-12-01 10:52:14.47583,200
12876,2,2025-12-01 10:52:14.47583,200
12881,2,2025-12-01 10:52:14.47583,200
12884,2,2025-12-01 10:52:14.47583,200
12885,2,2025-12-01 10:52:14.47583,200
12900,2,2025-12-01 10:52:14.47583,200
12905,2,2025-12-01 10:52:14.47583,200
12909,2,2025-12-01 10:52:14.47583,200
12910,2,2025-12-01 10:52:14.47583,200
12913,2,2025-12-01 10:52:14.47583,200
12945,2,2025-12-01 10:52:14.47583,200
12966,2,2025-12-01 10:52:14.47583,200
12967,2,2025-12-01 10:52:14.47583,200
12972,2,2025-12-01 10:52:14.47583,200
12975,2,2025-12-01 10:52:14.47583,200
12987,2,2025-12-01 10:52:14.47583,200
12992,2,2025-12-01 10:52:14.47583,200
12995,2,2025-12-01 10:52:14.47583,200
13015,2,2025-12-01 10:52:14.47583,200
13017,2,2025-12-01 10:52:14.47583,200
13021,2,2025-12-01 10:52:14.47583,120
12759,3,2025-12-01 10:52:14.47583,200
12760,3,2025-12-01 10:52:14.47583,200
12762,3,2025-12-01 10:52:14.47583,200
12764,3,2025-12-01 10:52:14.47583,200
12765,3,2025-12-01 10:52:14.47583,200
12768,3,2025-12-01 10:52:14.47583,200
12769,3,2025-12-01 10:52:14.47583,200
12771,3,2025-12-01 10:52:14.47583,200
12772,3,2025-12-01 10:52:14.47583,200
12773,3,2025-12-01 10:52:14.47583,200
12775,3,2025-12-01 10:52:14.47583,200
12776,3,2025-12-01 10:52:14.47583,200
12777,3,2025-12-01 10:52:14.47583,200
12778,3,2025-12-01 10:52:14.47583,200
12779,3,2025-12-01 10:52:14.47583,200
12780,3,2025-12-01 10:52:14.47583,200
12781,3,2025-12-01 10:52:14.47583,200
12785,3,2025-12-01 10:52:14.47583,200
12786,3,2025-12-01 10:52:14.47583,200
12787,3,2025-12-01 10:52:14.47583,200
12788,3,2025-12-01 10:52:14.47583,200
12792,3,2025-12-01 10:52:14.47583,200
12793,3,2025-12-01 10:52:14.47583,200
12795,3,2025-12-01 10:52:14.47583,200
12797,3,2025-12-01 10:52:14.47583,200
12798,3,2025-12-01 10:52:14.47583,200
12802,3,2025-12-01 10:52:14.47583,200
12804,3,2025-12-01 10:52:14.47583,200
12805,3,2025-12-01 10:52:14.47583,200
12806,3,2025-12-01 10:52:14.47583,200
12808,3,2025-12-01 10:52:14.47583,200
12809,3,2025-12-01 10:52:14.47583,200
12810,3,2025-12-01 10:52:14.47583,200
12812,3,2025-12-01 10:52:14.47583,200
12814,3,2025-12-01 10:52:14.47583,200
12816,3,2025-12-01 10:52:14.47583,200
12817,3,2025-12-01 10:52:14.47583,200
12819,3,2025-12-01 10:52:14.47583,200
12820,3,2025-12-01 10:52:14.47583,200
12821,3,2025-12-01 10:52:14.47583,200
12822,3,2025-12-01 10:52:14.47583,200
12823,3,2025-12-01 10:52:14.47583,200
12824,3,2025-12-01 10:52:14.47583,200
12825,3,2025-12-01 10:52:14.47583,200
12827,3,2025-12-01 10:52:14.47583,200
12829,3,2025-12-01 10:52:14.47583,200
12830,3,2025-12-01 10:52:14.47583,200
12831,3,2025-12-01 10:52:14.47583,200
12833,3,2025-12-01 10:52:14.47583,200
12836,3,2025-12-01 10:52:14.47583,200
12837,3,2025-12-01 10:52:14.47583,200
12839,3,2025-12-01 10:52:14.47583,200
12842,3,2025-12-01 10:52:14.47583,200
12846,3,2025-12-01 10:52:14.47583,200
12847,3,2025-12-01 10:52:14.47583,200
12848,3,2025-12-01 10:52:14.47583,200
12850,3,2025-12-01 10:52:14.47583,200
12855,3,2025-12-01 10:52:14.47583,200
12856,3,2025-12-01 10:52:14.47583,200
12857,3,2025-12-01 10:52:14.47583,200
12858,3,2025-12-01 10:52:14.47583,200
12859,3,2025-12-01 10:52:14.47583,200
12861,3,2025-12-01 10:52:14.47583,200
12862,3,2025-12-01 10:52:14.47583,200
12863,3,2025-12-01 10:52:14.47583,200
12864,3,2025-12-01 10:52:14.47583,200
12866,3,2025-12-01 10:52:14.47583,200
12867,3,2025-12-01 10:52:14.47583,200
12868,3,2025-12-01 10:52:14.47583,200
12869,3,2025-12-01 10:52:14.47583,200
12871,3,2025-12-01 10:52:14.47583,200
12877,3,2025-12-01 10:52:14.47583,200
12879,3,2025-12-01 10:52:14.47583,200
12880,3,2025-12-01 10:52:14.47583,200
12883,3,2025-12-01 10:52:14.47583,200
12886,3,2025-12-01 10:52:14.47583,200
12887,3,2025-12-01 10:52:14.47583,200
12888,3,2025-12-01 10:52:14.47583,200
12889,3,2025-12-01 10:52:14.47583,200
12890,3,2025-12-01 10:52:14.47583,200
12892,3,2025-12-01 10:52:14.47583,200
12893,3,2025-12-01 10:52:14.47583,200
12894,3,2025-12-01 10:52:14.47583,200
12895,3,2025-12-01 10:52:14.47583,200
12896,3,2025-12-01 10:52:14.47583,200
12897,3,2025-12-01 10:52:14.47583,200
12898,3,2025-12-01 10:52:14.47583,200
12899,3,2025-12-01 10:52:14.47583,200
12901,3,2025-12-01 10:52:14.47583,200
12902,3,2025-12-01 10:52:14.47583,200
12903,3,2025-12-01 10:52:14.47583,200
12904,3,2025-12-01 10:52:14.47583,200
12906,3,2025-12-01 10:52:14.47583,200
12907,3,2025-12-01 10:52:14.47583,200
12908,3,2025-12-01 10:52:14.47583,200
12911,3,2025-12-01 10:52:14.47583,200
12912,3,2025-12-01 10:52:14.47583,200
12915,3,2025-12-01 10:52:14.47583,200
12917,3,2025-12-01 10:52:14.47583,200
12918,3,2025-12-01 10:52:14.47583,200
12919,3,2025-12-01 10:52:14.47583,200
12920,3,2025-12-01 10:52:14.47583,200
12921,3,2025-12-01 10:52:14.47583,200
12922,3,2025-12-01 10:52:14.47583,200
12923,3,2025-12-01 10:52:14.47583,200
12924,3,2025-12-01 10:52:14.47583,200
12928,3,2025-12-01 10:52:14.47583,200
12929,3,2025-12-01 10:52:14.47583,200
12930,3,2025-12-01 10:52:14.47583,200
12931,3,2025-12-01 10:52:14.47583,200
12932,3,2025-12-01 10:52:14.47583,200
12933,3,2025-12-01 10:52:14.47583,200
12934,3,2025-12-01 10:52:14.47583,200
12936,3,2025-12-01 10:52:14.47583,200
12937,3,2025-12-01 10:52:14.47583,200
12939,3,2025-12-01 10:52:14.47583,200
12940,3,2025-12-01 10:52:14.47583,200
12941,3,2025-12-01 10:52:14.47583,200
12942,3,2025-12-01 10:52:14.47583,200
12943,3,2025-12-01 10:52:14.47583,200
12944,3,2025-12-01 10:52:14.47583,200
12946,3,2025-12-01 10:52:14.47583,200
12947,3,2025-12-01 10:52:14.47583,200
12948,3,2025-12-01 10:52:14.47583,200
12950,3,2025-12-01 10:52:14.47583,200
12952,3,2025-12-01 10:52:14.47583,200
12953,3,2025-12-01 10:52:14.47583,200
12954,3,2025-12-01 10:52:14.47583,200
12955,3,2025-12-01 10:52:14.47583,200
12956,3,2025-12-01 10:52:14.47583,200
12957,3,2025-12-01 10:52:14.47583,200
12960,3,2025-12-01 10:52:14.47583,200
12961,3,2025-12-01 10:52:14.47583,200
12962,3,2025-12-01 10:52:14.47583,200
12963,3,2025-12-01 10:52:14.47583,200
12964,3,2025-12-01 10:52:14.47583,200
12965,3,2025-12-01 10:52:14.47583,200
12970,3,2025-12-01 10:52:14.47583,200
12971,3,2025-12-01 10:52:14.47583,200
12974,3,2025-12-01 10:52:14.47583,200
12977,3,2025-12-01 10:52:14.47583,200
12978,3,2025-12-01 10:52:14.47583,200
12979,3,2025-12-01 10:52:14.47583,200
12980,3,2025-12-01 10:52:14.47583,200
12982,3,2025-12-01 10:52:14.47583,200
12986,3,2025-12-01 10:52:14.47583,200
12993,3,2025-12-01 10:52:14.47583,200
12997,3,2025-12-01 10:52:14.47583,200
12999,3,2025-12-01 10:52:14.47583,200
13000,3,2025-12-01 10:52:14.47583,200
13001,3,2025-12-01 10:52:14.47583,200
13002,3,2025-12-01 10:52:14.47583,200
13003,3,2025-12-01 10:52:14.47583,200
13004,3,2025-12-01 10:52:14.47583,200
13005,3,2025-12-01 10:52:14.47583,200
13006,3,2025-12-01 10:52:14.47583,200
13007,3,2025-12-01 10:52:14.47583,200
13008,3,2025-12-01 10:52:14.47583,200
13009,3,2025-12-01 10:52:14.47583,200
